VehicleTypeId,Description,Year,Month,Count,Amount
4,PRIVATE MOTOR CAR/JEEP CAR,2015,8,1738,28089101
7,PUBLIC MOTOR CAR MORE THAN 16 SEAT,2015,8,15,485517
8,LOADING TRUCK/TEMPO/TRACTOR UPTO 2 TON       ,2015,8,86,932391
9,LOADING TRUCK/TEMPO/TRACTOR 2 TO 4 TON       ,2015,8,1,18173
10,LOADING TRUCK/TEMPO/TRACTOR 4 TO 8 TON       ,2015,8,1,20449
11,LOADING TRUCK/TEMPO/TRACTOR MORE THAN 8 TON  ,2015,8,5,97479
19,LOADER                                       ,2015,8,3,136868
21,TEMPO,2015,8,169,499311
1,MOPED/SCOOTER                                ,2015,9,4613,4831246
2,MOTOR CYCLE                                  ,2015,9,4126,5408156
3,AUTO RICKSHAW,2015,9,264,737700
4,PRIVATE MOTOR CAR/JEEP CAR,2015,9,1971,33017698
7,PUBLIC MOTOR CAR MORE THAN 16 SEAT,2015,9,20,493584
8,LOADING TRUCK/TEMPO/TRACTOR UPTO 2 TON       ,2015,9,139,1245814
10,LOADING TRUCK/TEMPO/TRACTOR 4 TO 8 TON       ,2015,9,2,51675
11,LOADING TRUCK/TEMPO/TRACTOR MORE THAN 8 TON  ,2015,9,5,161980
17,EXCAVATOR,2015,9,1,6895
19,LOADER                                       ,2015,9,2,101410
21,TEMPO,2015,9,132,384954
1,MOPED/SCOOTER                                ,2015,10,5491,5724557
2,MOTOR CYCLE                                  ,2015,10,5897,7539517
3,AUTO RICKSHAW,2015,10,302,842721
4,PRIVATE MOTOR CAR/JEEP CAR,2015,10,2672,48632608
7,PUBLIC MOTOR CAR MORE THAN 16 SEAT,2015,10,13,324181
